timestamp,close,signal,returns,equity
2022-10-01 00:00:00,19395.5,0,0.0,100000.0
2022-10-01 01:00:00,19412.5,0,0.0,100000.0
2022-10-01 02:00:00,19405.0,0,-0.0,100000.0
2022-10-01 03:00:00,19407.5,0,0.0,100000.0
2022-10-01 04:00:00,19398.0,0,-0.0,100000.0
2022-10-01 05:00:00,19312.5,0,-0.0,100000.0
2022-10-01 06:00:00,19283.0,0,-0.0,100000.0
2022-10-01 07:00:00,19304.5,0,0.0,100000.0
2022-10-01 08:00:00,19327.0,0,0.0,100000.0
2022-10-01 09:00:00,19322.5,0,-0.0,100000.0
2022-10-01 10:00:00,19320.0,0,-0.0,100000.0
2022-10-01 11:00:00,19306.5,0,-0.0,100000.0
2022-10-01 12:00:00,19290.0,0,-0.0,100000.0
2022-10-01 13:00:00,19322.5,0,0.0,100000.0
2022-10-01 14:00:00,19314.0,0,-0.0,100000.0
2022-10-01 15:00:00,19321.0,0,0.0,100000.0
2022-10-01 16:00:00,19284.0,0,-0.0,100000.0
2022-10-01 17:00:00,19270.0,0,-0.0,100000.0
2022-10-01 18:00:00,19295.0,0,0.0,100000.0
2022-10-01 19:00:00,19257.5,0,-0.0,100000.0
2022-10-01 20:00:00,19245.5,0,-0.0,100000.0
2022-10-01 21:00:00,19276.5,0,0.0,100000.0
2022-10-01 22:00:00,19316.0,0,0.0,100000.0
2022-10-01 23:00:00,19302.5,0,-0.0,100000.0
2022-10-02 00:00:00,19265.5,0,-0.0,100000.0
2022-10-02 01:00:00,19297.0,0,0.0,100000.0
2022-10-02 02:00:00,19305.5,0,0.0,100000.0
2022-10-02 03:00:00,19297.5,0,-0.0,100000.0
2022-10-02 04:00:00,19324.0,0,0.0,100000.0
2022-10-02 05:00:00,19321.0,0,-0.0,100000.0
2022-10-02 06:00:00,19264.0,0,-0.0,100000.0
2022-10-02 07:00:00,19277.5,0,0.0,100000.0
2022-10-02 08:00:00,19273.5,0,-0.0,100000.0
2022-10-02 09:00:00,19254.0,0,-0.0,100000.0
2022-10-02 10:00:00,19095.0,0,-0.0,100000.0
2022-10-02 11:00:00,19185.0,0,0.0,100000.0
2022-10-02 12:00:00,19153.5,0,-0.0,100000.0
2022-10-02 13:00:00,19155.5,0,0.0,100000.0
2022-10-02 14:00:00,19097.0,0,-0.0,100000.0
2022-10-02 15:00:00,19137.0,0,0.0,100000.0
2022-10-02 16:00:00,19190.5,0,0.0,100000.0
2022-10-02 17:00:00,19192.5,0,0.0,100000.0
2022-10-02 18:00:00,19210.0,0,0.0,100000.0
2022-10-02 19:00:00,19248.0,0,0.0,100000.0
2022-10-02 20:00:00,19221.5,0,-0.0,100000.0
