rsi_window,rsi_long_threshold,rsi_short_threshold,sma_period,objective_value,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,avg_win,avg_loss,profit_factor,total_trades,winning_trades,losing_trades
18,50,30,30,0.9716672431011254,-0.754116771382473,-0.33803553611564896,0.7647361785665393,-0.44202895794636016,-0.8981045776114726,-0.3763877220341771,0.20318474972889675,0.007948641943586202,-0.006608186928268559,0.9716672431011254,1222,3560,4407
18,50,30,20,0.9689050520308985,-0.7768844248627341,-0.36830269881274513,0.767055712124574,-0.48015117153958536,-0.9070575153199479,-0.40604117444838445,0.20655213743507791,0.007910157834143365,-0.00657298764354162,0.9689050520308985,1246,3619,4495
18,50,30,10,0.9673752061840291,-0.785815478687144,-0.38161810726020995,0.7659156556720752,-0.4982508249232064,-0.910361138495826,-0.4191941979100195,0.20569602191655728,0.007909214669095752,-0.006567001624333159,0.9673752061840291,1250,3604,4487
16,50,30,20,0.9660348585706761,-0.8131396475681323,-0.41058334658740714,0.7906615511948858,-0.5192908975615594,-0.9239487795691168,-0.4443789046172912,0.21853775469436676,0.007853457174595084,-0.006599143496731481,0.9660348585706761,1300,3829,4717
16,50,30,30,0.9643983714152781,-0.8181209637663758,-0.4201399847410513,0.7870615301108708,-0.5338083093476409,-0.9261898196003835,-0.45362189893463317,0.21368643342274984,0.007886121860601553,-0.006633934055900313,0.9643983714152781,1276,3744,4615
18,65,30,30,0.9641817171489064,-0.5901069331017355,-0.23128085497659356,0.6092493301572174,-0.3796161005493618,-0.8112176872490657,-0.2851033188895253,0.08703841104959763,0.009286181548286051,-0.007555302563598474,0.9641817171489064,588,1525,1944
18,65,30,20,0.9641817171489064,-0.5901069331017355,-0.23128085497659356,0.6092493301572174,-0.3796161005493618,-0.8112176872490657,-0.2851033188895253,0.08703841104959763,0.009286181548286051,-0.007555302563598474,0.9641817171489064,588,1525,1944
18,65,30,40,0.9641817171489064,-0.5901069331017355,-0.23128085497659356,0.6092493301572174,-0.3796161005493618,-0.8112176872490657,-0.2851033188895253,0.08703841104959763,0.009286181548286051,-0.007555302563598474,0.9641817171489064,588,1525,1944
16,50,30,10,0.9637450010385842,-0.8253974876334211,-0.43068152906437573,0.7896915340608607,-0.5453794430968074,-0.9286057275208318,-0.46379374615123087,0.2177387135437475,0.007850405043391467,-0.00659506662087097,0.9637450010385842,1306,3815,4712
18,65,30,10,0.9636886011952155,-0.5918079151745314,-0.23340211256859966,0.6081459621411432,-0.3837929166656703,-0.8111229597462833,-0.2877518257424338,0.086638890474288,0.009294232062729776,-0.007546521810056545,0.9636886011952155,588,1518,1940
18,60,30,30,0.9608046869708825,-0.6950311713946837,-0.3150825050644962,0.660620206414511,-0.47694954227118413,-0.8628236546321728,-0.3651760164118563,0.12048399063980367,0.008789710363413111,-0.007126206352598746,0.9608046869708825,826,2111,2710
18,60,30,20,0.9608046869708825,-0.6950311713946837,-0.3150825050644962,0.660620206414511,-0.47694954227118413,-0.8628236546321728,-0.3651760164118563,0.12048399063980367,0.008789710363413111,-0.007126206352598746,0.9608046869708825,826,2111,2710
18,60,30,40,0.9608046869708825,-0.6950311713946837,-0.3150825050644962,0.660620206414511,-0.47694954227118413,-0.8628236546321728,-0.3651760164118563,0.12048399063980367,0.008789710363413111,-0.007126206352598746,0.9608046869708825,826,2111,2710
18,60,30,10,0.9598688706372505,-0.6995779188208755,-0.32063744925034243,0.6596769408105705,-0.4860522316520005,-0.8642376062638212,-0.37100612947923856,0.12002739569659265,0.008794247649937841,-0.007122931818709423,0.9598688706372505,826,2103,2705
16,60,30,30,0.9585812948908549,-0.7490274695964798,-0.36315801364061917,0.6955284818910822,-0.522132483565912,-0.8876416270251859,-0.4091268396883272,0.13846241652873695,0.008609675327024688,-0.007111477818640214,0.9585812948908549,912,2426,3064
16,60,30,20,0.9585812948908549,-0.7490274695964798,-0.36315801364061917,0.6955284818910822,-0.522132483565912,-0.8876416270251859,-0.4091268396883272,0.13846241652873695,0.008609675327024688,-0.007111477818640214,0.9585812948908549,912,2426,3064
16,60,30,40,0.9585812948908549,-0.7490274695964798,-0.36315801364061917,0.6955284818910822,-0.522132483565912,-0.8876416270251859,-0.4091268396883272,0.13846241652873695,0.008609675327024688,-0.007111477818640214,0.9585812948908549,912,2426,3064
18,50,30,40,0.9585581480951808,-0.8227493630858852,-0.44391655646399863,0.7502165033060012,-0.5917179301012154,-0.9276315501798772,-0.4785483593975633,0.19416699960047942,0.007979995814748054,-0.006638923411578523,0.9585581480951808,1212,3402,4266
16,60,30,10,0.9577475529121141,-0.7527691920271786,-0.36832308970699157,0.6946325236634725,-0.5302416416733065,-0.8887997662391368,-0.41440502540354185,0.13800582158552593,0.008613025878418567,-0.007108558153115398,0.9577475529121141,912,2418,3059
16,50,40,30,0.9576897015110603,-0.9100785444870638,-0.5665218086701616,0.8616663613998674,-0.6574723513051937,-0.9665792908209065,-0.5861100212368713,0.2791507334056275,0.007737071653118567,-0.006434434244568748,0.9576897015110603,1700,4891,6141
18,50,40,30,0.9573010858482285,-0.9019767741392771,-0.5526792115287826,0.8478778140166799,-0.6518382747987672,-0.9623893657112258,-0.5742781780639702,0.2618001255636094,0.0078641663749554,-0.006523875987543396,0.9573010858482285,1624,4587,5776
10,55,30,20,0.9569747780263916,-0.9034351874506752,-0.5518853466642962,0.8584155384290189,-0.6429116458845774,-0.9595906983437404,-0.575125777705905,0.2594030021117516,0.007856605818015786,-0.006543967701324445,0.9569747780263916,1536,4545,5702
16,50,40,20,0.9567443613140093,-0.9150186190526722,-0.5778656309820458,0.86366519143373,-0.6690852389486234,-0.9681016561377103,-0.5969059419725296,0.28228982364020316,0.007713600448838502,-0.006418210940434492,0.9567443613140093,1718,4946,6213
16,50,40,10,0.9564283362031898,-0.9154879643829049,-0.5794781061066142,0.8624490774746567,-0.6718983430342208,-0.9681296543518043,-0.598554236513491,0.2813766337537812,0.007714047493702368,-0.006410250658789674,0.9564283362031898,1722,4930,6203
10,55,30,10,0.95640276555871,-0.9046864841641089,-0.5553602958491457,0.8569521196951942,-0.6480645570334542,-0.9599280208422034,-0.5785436863921257,0.2584327378574282,0.007853411280275271,-0.0065344895897269184,0.95640276555871,1538,4528,5690
12,55,35,20,0.9544604002937462,-0.9137347879622979,-0.5761274312414526,0.8592989911936263,-0.6704621291841287,-0.9664520093060803,-0.5961262697928646,0.2600878945265681,0.007895390925805622,-0.00656723957444334,0.9544604002937462,1580,4557,5740
10,55,35,10,0.9544519722177472,-0.9309218625319274,-0.6110420233123617,0.8881915478498142,-0.6879619883701976,-0.9704070939923058,-0.6296759649586883,0.2930768791735632,0.0077068702696211945,-0.006457460329982848,0.9544519722177472,1724,5135,6421
10,55,35,20,0.9543874286337516,-0.9317823263580985,-0.6129776618292929,0.8896204847888391,-0.6890327643194836,-0.9709115861317604,-0.6313424111782172,0.2941612921636893,0.0077075803333171,-0.006468285977509475,0.9543874286337516,1722,5154,6435
18,50,40,20,0.9533304361184869,-0.9173849024309344,-0.5887549066471802,0.849534658879442,-0.6930322388774144,-0.9678996242932337,-0.6082809537994115,0.26442554648707267,0.00783555601698729,-0.0065003882116633,0.9533304361184869,1648,4633,5858
12,55,35,10,0.9530248663944643,-0.9175576571475187,-0.5861815554599275,0.8577418120195759,-0.6834009339940504,-0.9677889409060347,-0.6056915208300995,0.2589464071685406,0.007890969662238434,-0.006558309547817553,0.9530248663944643,1582,4537,5728
18,50,40,10,0.9529892408286825,-0.9178411789684371,-0.5903257914325942,0.8482982742808095,-0.6958941322061213,-0.9679277998372503,-0.6098861831759074,0.26351235660065064,0.00783645599971834,-0.00649208522699666,0.9529892408286825,1652,4617,5848
12,55,40,20,0.9520268547023344,-0.9411605293743608,-0.638340777993339,0.8965420833284969,-0.7120031394660681,-0.9755236519258554,-0.6543570488866589,0.29633011814394156,0.0077748036705171724,-0.006504200712944225,0.9520268547023344,1768,5192,6519
16,60,40,40,0.9513180610192913,-0.8798566139534449,-0.5303286121367312,0.7822044165018398,-0.6779923520611876,-0.9508949255487135,-0.5577152615791964,0.20723702984989442,0.008134479015048901,-0.006689885451996944,0.9513180610192913,1344,3631,4641
