permutation,score
0,0.0
1,0.0
2,0.0
3,0.9447136635396122
4,0.0
5,0.0
6,0.711044664903175
7,0.0
8,0.0
9,1.009730748763896
10,0.38772568517878503
11,0.3491848264448177
12,0.7296486533245893
13,0.9664861459981665
14,0.9933074145149038
15,0.0
16,0.0
17,0.0
18,0.9861150490704549
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,1.0267337304574777
30,0.9815092791228736
31,0.11201767111374511
32,0.0
33,0.8772614687139092
34,0.9458462743737408
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.7703650419134185
42,0.0
43,0.0
44,0.49456880592312685
45,0.0
46,0.0
47,0.0
48,0.0
49,0.9307795902050348
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,1.0044783590930575
57,0.0
58,0.0
59,0.0
60,0.0
61,0.5032578825653266
62,0.7273537678219818
63,0.0
64,0.6249944103620163
65,0.0
66,0.9812820549993764
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0030513382113624816
76,0.0
77,0.0
78,0.0
79,0.0
80,0.8235877424365019
81,0.0
82,0.0
83,0.0
84,0.6578282784829448
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,1.1285499559617385
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.5517299173114458
100,0.0
101,0.0
102,0.0
103,0.9980063607398665
104,1.0398573584136346
105,0.0
106,0.5122414807488703
107,0.0
108,0.4043031376613105
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.9402663846653618
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.9658854130126151
126,0.0
127,0.0
128,0.0
129,0.9794948839523883
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.6688144998976735
138,0.0
139,0.0
140,0.8935592890909556
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.9436597896646574
147,0.0
148,0.8460045717264356
149,0.8284415125463895
150,0.0
151,0.0
152,0.0
153,1.0071010337414914
154,0.0
155,1.0249061747924657
156,1.0514991328296779
157,0.893349550648817
158,0.0
159,0.0
160,0.0
161,1.0138751810395659
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,1.0375169835486722
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,1.09972557341649
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.5812727985916392
180,0.0
181,1.0269301969397542
182,0.9859876517566551
183,1.0514893424469423
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.9692137942553194
196,0.0
197,0.25755629197831
198,0.0
199,0.0
200,0.0
201,1.0641948488780872
202,0.0
203,0.0
204,0.9459419417345151
205,0.0
206,0.0
207,0.0
208,0.0
209,0.7961935568208038
210,0.0
211,0.9490028168891177
212,0.0
213,0.0
214,1.0166863387326888
215,0.9251084769820543
216,0.0
217,0.0
218,0.0
219,0.9615288818059139
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.9917882736706758
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,1.0320589406416434
242,0.0
243,0.0
244,0.0
245,0.9845438396236754
246,0.0
247,0.0
248,1.0342476737970847
249,0.7918384545598448
250,0.0
251,0.0
252,0.0
253,0.9450397361099163
254,0.762951076679522
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.12317390473396271
263,1.019783003770877
264,0.0
265,0.0
266,1.0071886193038473
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,1.0293151957545759
273,0.0
274,0.0
275,0.0
276,0.9537970686754069
277,0.0
278,0.0
279,0.9880287270199396
280,0.0
281,0.9447985547534415
282,0.0
283,0.0
284,0.0
285,0.0
286,0.917272215005578
287,0.0
288,0.0
289,0.0
290,0.9903932603633053
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.27454473213697567
303,0.0
304,0.0
305,0.0
306,0.0
307,1.0611025008924473
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.7914048788003687
318,0.0
319,0.0
320,0.7629397542134204
321,0.0
322,0.0
323,1.0634924913828612
324,1.0571339677116356
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,1.0253309350980702
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.5016299090188915
342,0.9486265751903187
343,0.0
344,0.0
345,0.0
346,0.0
347,1.0172448923451607
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,1.0123939394128727
355,0.0
356,0.9725230891113376
357,0.0
358,0.0
359,0.0
360,1.023206999246676
361,0.7696374401488117
362,1.0135918827243473
363,0.0
364,0.8894839097367967
365,0.0
366,0.38569319829475973
367,0.0
368,0.0
369,0.0
370,0.0
371,0.985765453623988
372,0.7629139850114702
373,0.0
374,0.8582177975249322
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.5614714863508993
385,0.0
386,0.0
387,0.0
388,0.0
389,0.6359478793236221
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.9612596292766387
396,0.0
397,1.016746188079525
398,0.9389812699069856
399,0.0
400,0.763969206610323
401,0.47466222020355625
402,0.0
403,1.0159144797420965
404,1.0192559196501167
405,0.32375061314861614
406,0.0
407,0.0
408,0.0
409,0.0
410,0.309939176171192
411,0.0
412,0.8702017494456828
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.5992561885491156
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.9214450675255288
430,0.9950252597230446
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,1.0256140911439071
437,1.033748290291902
438,0.0
439,0.530971636465749
440,1.0456394541806255
441,0.0
442,0.8609226171080695
443,0.2148233455412456
444,0.0
445,0.9805660376430447
446,0.0
447,0.0
448,0.0
449,0.0
450,0.9859698484679931
451,0.0
452,0.24823706515817898
453,0.0
454,0.0
455,0.0
456,0.681765664535425
457,0.0
458,0.0
459,0.9721570131784046
460,0.9359318372433538
461,0.0
462,0.3273404222092489
463,0.9571866477656354
464,0.0
465,1.0212942493107389
466,0.0
467,0.0
468,0.0
469,0.0
