timestamp,open,high,low,close,volume
2022-10-19 00:00:00,7.325,8.385,6.545,7.31,55254486.6
2022-10-20 00:00:00,7.31,7.735,6.9,7.355,36664193.55
2022-10-21 00:00:00,7.355,7.675,6.985,7.495,31780022.31
2022-10-22 00:00:00,7.495,9.345,7.335,8.93,63402223.4
2022-10-23 00:00:00,8.93,10.19,8.845,9.745,98368607.29
2022-10-24 00:00:00,9.745,9.96,9.205,9.525,49235644.31
2022-10-25 00:00:00,9.525,9.56,8.505,8.77,51807258.28
2022-10-26 00:00:00,8.77,9.285,8.6,9.195,41872579.82
2022-10-27 00:00:00,9.195,9.635,8.575,8.69,31521795.21
2022-10-28 00:00:00,8.69,8.825,7.92,8.175,27477049.67
2022-10-29 00:00:00,8.175,8.385,7.56,7.955,20654725.34
2022-10-30 00:00:00,7.955,8.36,7.58,7.805,14937711.0
2022-10-31 00:00:00,7.805,8.21,7.675,7.935,12420448.38
2022-11-01 00:00:00,7.935,8.31,7.805,8.19,11843204.38
2022-11-02 00:00:00,8.19,8.205,7.105,7.37,18039151.91
2022-11-03 00:00:00,7.37,7.555,7.165,7.225,7199342.74
2022-11-04 00:00:00,7.225,7.79,7.15,7.655,7362638.1
2022-11-05 00:00:00,7.655,7.995,7.515,7.625,7290978.34
2022-11-06 00:00:00,7.625,8.225,7.185,7.305,16570901.08
2022-11-07 00:00:00,7.305,7.46,6.77,7.0,11330895.71
2022-11-08 00:00:00,7.0,7.02,4.455,5.37,33058382.95
2022-11-09 00:00:00,5.37,5.385,3.445,3.93,36037913.07
2022-11-10 00:00:00,3.93,5.5,3.835,5.15,24071519.63
2022-11-11 00:00:00,5.15,5.34,4.475,5.17,18231167.34
2022-11-12 00:00:00,5.17,5.18,4.42,4.545,8752937.89
2022-11-13 00:00:00,4.545,4.62,4.085,4.215,6669372.2
2022-11-14 00:00:00,4.215,4.51,3.73,4.195,10595216.32
2022-11-15 00:00:00,4.195,4.75,4.11,4.335,8897720.37
2022-11-16 00:00:00,4.335,4.98,4.145,4.5,14861682.23
2022-11-17 00:00:00,4.5,4.845,4.345,4.655,15014394.41
2022-11-18 00:00:00,4.655,4.925,4.53,4.72,8882709.34
2022-11-19 00:00:00,4.72,4.77,4.5,4.62,3528238.54
2022-11-20 00:00:00,4.62,4.635,4.025,4.1,4545158.85
2022-11-21 00:00:00,4.1,4.145,3.855,4.06,6077732.16
2022-11-22 00:00:00,4.06,4.51,3.855,4.315,7292888.98
2022-11-23 00:00:00,4.315,4.585,4.24,4.44,4723589.91
2022-11-24 00:00:00,4.44,4.725,4.225,4.435,6004240.61
2022-11-25 00:00:00,4.435,4.555,4.245,4.425,5256365.44
2022-11-26 00:00:00,4.425,5.02,4.405,4.76,10349586.53
2022-11-27 00:00:00,4.76,5.03,4.615,4.795,9039764.57
2022-11-28 00:00:00,4.795,4.795,4.3,4.47,6116393.38
2022-11-29 00:00:00,4.47,4.785,4.415,4.665,3428268.53
2022-11-30 00:00:00,4.665,4.875,4.56,4.77,3452800.36
2022-12-01 00:00:00,4.77,4.785,4.585,4.645,2824324.03
2022-12-02 00:00:00,4.645,5.06,4.49,4.895,5704061.44
2022-12-03 00:00:00,4.895,5.275,4.87,5.105,13065263.07
2022-12-04 00:00:00,5.105,5.365,5.05,5.18,11038096.94
2022-12-05 00:00:00,5.18,5.425,5.0,5.16,8839800.61
2022-12-06 00:00:00,5.16,5.415,4.86,5.045,8307304.82
2022-12-07 00:00:00,5.045,5.055,4.595,4.815,6154917.82
2022-12-08 00:00:00,4.815,4.94,4.68,4.915,3683507.19
2022-12-09 00:00:00,4.915,4.945,4.75,4.8,2732133.88
2022-12-10 00:00:00,4.8,4.835,4.755,4.78,1526980.06
2022-12-11 00:00:00,4.78,4.905,4.615,4.665,2242457.5
2022-12-12 00:00:00,4.665,4.71,4.3,4.52,4254371.89
2022-12-13 00:00:00,4.52,4.67,4.265,4.62,3435600.51
2022-12-14 00:00:00,4.62,4.755,4.48,4.695,4606791.36
2022-12-15 00:00:00,4.695,4.795,4.51,4.66,5750146.64
2022-12-16 00:00:00,4.66,4.74,3.96,4.04,5730036.9
2022-12-17 00:00:00,4.04,4.145,3.955,4.08,2820539.82
2022-12-18 00:00:00,4.08,4.1,3.97,4.05,2382667.65
2022-12-19 00:00:00,4.05,4.135,3.66,3.8,5511701.5
2022-12-20 00:00:00,3.8,3.93,3.785,3.89,3143144.57
