timestamp,open,high,low,close,volume
2022-08-17 00:00:00,2.0305,2.1605,1.865,1.9135,2219952.6
2022-08-18 00:00:00,1.9135,1.9625,1.745,1.7785,1261076.8
2022-08-19 00:00:00,1.7785,1.7785,1.5565,1.67,1840300.1
2022-08-20 00:00:00,1.67,1.7465,1.542,1.603,1771363.7
2022-08-21 00:00:00,1.603,1.9135,1.5945,1.839,3745678.7
2022-08-22 00:00:00,1.839,1.84,1.6555,1.765,3141229.5
2022-08-23 00:00:00,1.765,1.887,1.7485,1.8185,1611301.9
2022-08-24 00:00:00,1.8185,1.8795,1.75,1.761,1106706.3
2022-08-25 00:00:00,1.761,1.8545,1.76,1.772,816264.0
2022-08-26 00:00:00,1.772,1.8245,1.575,1.5925,968901.0
2022-08-27 00:00:00,1.5925,1.6265,1.546,1.5645,365412.6
2022-08-28 00:00:00,1.5645,1.62,1.4855,1.4965,343824.7
2022-08-29 00:00:00,1.4965,1.613,1.4765,1.61,873754.6
2022-08-30 00:00:00,1.61,1.6375,1.4915,1.5225,739486.6
2022-08-31 00:00:00,1.5225,1.5965,1.522,1.556,526825.8
2022-09-01 00:00:00,1.556,1.5735,1.4605,1.5235,456660.1
2022-09-02 00:00:00,1.5235,1.577,1.501,1.532,306111.1
2022-09-03 00:00:00,1.532,1.5595,1.511,1.527,322225.0
2022-09-04 00:00:00,1.527,1.624,1.5155,1.599,1118837.1
2022-09-05 00:00:00,1.599,1.6265,1.5265,1.604,1713098.3
2022-09-06 00:00:00,1.604,1.653,1.4495,1.453,2453335.3
2022-09-07 00:00:00,1.453,1.578,1.4265,1.554,1649839.2
2022-09-08 00:00:00,1.554,1.601,1.4855,1.532,2123046.7
2022-09-09 00:00:00,1.532,1.7355,1.527,1.682,1469162.0
2022-09-10 00:00:00,1.682,1.738,1.6,1.6345,750578.3
2022-09-11 00:00:00,1.6345,2.049,1.616,1.8695,8111083.5
2022-09-12 00:00:00,1.8695,1.9355,1.755,1.8075,5739761.6
2022-09-13 00:00:00,1.8075,2.0515,1.6295,1.65,8321095.6
2022-09-14 00:00:00,1.65,1.7515,1.607,1.651,2743460.5
2022-09-15 00:00:00,1.651,1.666,1.545,1.6285,1639450.0
2022-09-16 00:00:00,1.6285,1.684,1.584,1.678,1467795.8
2022-09-17 00:00:00,1.678,1.7135,1.642,1.695,823020.2
2022-09-18 00:00:00,1.695,1.695,1.4125,1.4465,1671007.5
2022-09-19 00:00:00,1.4465,1.632,1.424,1.572,4264709.8
2022-09-20 00:00:00,1.572,1.632,1.503,1.525,4797565.1
2022-09-21 00:00:00,1.525,1.5935,1.4395,1.467,3567857.0
2022-09-22 00:00:00,1.467,1.5475,1.4585,1.5295,830834.2
2022-09-23 00:00:00,1.5295,1.6565,1.4635,1.576,1756362.1
2022-09-24 00:00:00,1.576,1.689,1.537,1.6455,4552797.7
2022-09-25 00:00:00,1.6455,1.9895,1.606,1.795,13689030.5
2022-09-26 00:00:00,1.795,1.9165,1.68,1.781,13500879.3
2022-09-27 00:00:00,1.781,1.849,1.7025,1.736,4914355.8
2022-09-28 00:00:00,1.736,1.753,1.62,1.7045,3568794.0
2022-09-29 00:00:00,1.7045,1.7195,1.633,1.684,2663824.3
2022-09-30 00:00:00,1.684,1.7525,1.6245,1.7005,3415740.2
2022-10-01 00:00:00,1.7005,1.7215,1.6405,1.6505,1320562.5
2022-10-02 00:00:00,1.6505,1.68,1.546,1.5635,1555549.7
2022-10-03 00:00:00,1.5635,1.746,1.547,1.701,3183203.2
2022-10-04 00:00:00,1.701,1.8775,1.6815,1.7965,8739205.0
2022-10-05 00:00:00,1.7965,1.977,1.752,1.915,7789453.1
2022-10-06 00:00:00,1.915,1.927,1.8175,1.831,5010338.8
2022-10-07 00:00:00,1.831,2.03,1.8245,1.986,8756003.1
2022-10-08 00:00:00,1.986,2.027,1.951,1.987,8600388.7
