timestamp,open,high,low,close,volume
2021-03-18 00:00:00,1.4037,1.4803,1.2223,1.2323,17729466.0
2021-03-19 00:00:00,1.2323,1.3448,1.1801,1.2987,23841821.0
2021-03-20 00:00:00,1.2987,1.3112,1.1965,1.1991,13980072.0
2021-03-21 00:00:00,1.1991,1.2416,1.1616,1.1876,13576197.0
2021-03-22 00:00:00,1.1876,1.2086,1.06,1.1035,21828978.0
2021-03-23 00:00:00,1.1035,1.174,1.0821,1.1159,22606944.0
2021-03-24 00:00:00,1.1159,1.1652,1.0307,1.0682,13990034.0
2021-03-25 00:00:00,1.0682,1.1549,1.0493,1.0975,22524722.0
2021-03-26 00:00:00,1.0975,1.2883,1.0973,1.2167,36344115.0
2021-03-27 00:00:00,1.2167,1.243,1.1578,1.177,19361166.0
2021-03-28 00:00:00,1.177,1.2193,1.1677,1.191,10423434.0
2021-03-29 00:00:00,1.191,1.23,1.182,1.2033,14107604.0
2021-03-30 00:00:00,1.2033,1.2384,1.1901,1.2154,15737519.0
2021-03-31 00:00:00,1.2154,1.2162,1.1409,1.1921,22212912.0
2021-04-01 00:00:00,1.1921,1.21,1.1736,1.1846,13048232.0
2021-04-02 00:00:00,1.1846,1.247,1.184,1.1915,20946228.0
2021-04-03 00:00:00,1.1915,1.2441,1.1539,1.1612,35426691.0
2021-04-04 00:00:00,1.1612,1.194,1.1486,1.183,14121004.0
2021-04-05 00:00:00,1.183,1.2294,1.1635,1.21,21767962.0
2021-04-06 00:00:00,1.21,1.345,1.1962,1.2541,62193273.0
2021-04-07 00:00:00,1.2541,1.291,1.1562,1.1723,38525186.0
2021-04-08 00:00:00,1.1723,1.2262,1.172,1.219,14112815.0
2021-04-09 00:00:00,1.219,1.2306,1.1913,1.2041,10623145.0
2021-04-10 00:00:00,1.2041,1.2535,1.198,1.2164,19701000.0
2021-04-11 00:00:00,1.2164,1.2917,1.201,1.266,30598768.0
2021-04-12 00:00:00,1.266,1.349,1.2652,1.3188,50472044.0
2021-04-13 00:00:00,1.3188,1.445,1.2869,1.416,65218825.0
2021-04-14 00:00:00,1.416,1.5675,1.3339,1.4546,149951626.0
2021-04-15 00:00:00,1.4546,1.4996,1.412,1.4779,59911454.0
2021-04-16 00:00:00,1.4779,1.5229,1.3251,1.4096,74712130.0
2021-04-17 00:00:00,1.4096,1.4585,1.3585,1.3708,36082667.0
2021-04-18 00:00:00,1.3708,1.3852,1.0481,1.2776,116322364.0
2021-04-19 00:00:00,1.2776,1.3251,1.1685,1.1955,39002082.0
2021-04-20 00:00:00,1.1955,1.2808,1.12,1.2682,35511364.0
2021-04-21 00:00:00,1.2682,1.2862,1.199,1.2039,25456968.0
