timestamp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
30/06/2024,BTC,ETH,SOL,XRP,TON,DOGE,ADA,AVAX,TRX,SHIB,DOT,LINK,BCH,NEAR,LTC,UNI,MATIC,1000PEPE,KAS,ICP,ETC,APT,XMR,RENDER,HBAR,XLM,ATOM,ARB,MNT,FIL,STX,CRO,IMX,MKR,,,,,,
28/07/2024,BTC,ETH,SOL,XRP,DOGE,TON,ADA,TRX,AVAX,SHIB,DOT,BCH,LINK,NEAR,LTC,MATIC,1000PEPE,KAS,UNI,ICP,ETC,APT,FET,XMR,STX,MNT,FIL,RENDER,MKR,ATOM,HBAR,WIF,TAO,,,,,,,
25/08/2024,BTC,ETH,SOL,XRP,DOGE,TON,TRX,ADA,AVAX,SHIB,LINK,DOT,BCH,NEAR,MATIC,LTC,KAS,ICP,UNI,1000PEPE,APT,FET,XMR,ETC,XLM,STX,SUI,TAO,RENDER,FIL,IMX,CRO,INJ,,,,,,,
29/09/2024,BTC,ETH,SOL,XRP,DOGE,TON,ADA,TRX,AVAX,SHIB,LINK,DOT,BCH,NEAR,LTC,SUI,1000PEPE,ICP,UNI,TAO,FET,APT,KAS,RENDER,POL,ETC,XLM,STX,IMX,XMR,WIF,AAVE,FIL,,,,,,,
27/10/2024,BTC,ETH,SOL,XRP,DOGE,TRX,TON,ADA,AVAX,SHIB,BCH,LINK,DOT,LTC,NEAR,SUI,APT,UNI,1000PEPE,TAO,ICP,FET,KAS,XMR,XLM,ETC,STX,POL,RENDER,WIF,AAVE,IMX,FIL,,,,,,,
24/11/2024,BTC,ETH,SOL,XRP,DOGE,ADA,TRX,AVAX,XLM,TON,SHIB,DOT,LINK,BCH,SUI,1000PEPE,NEAR,LTC,APT,UNI,HBAR,ICP,CRO,POL,RENDER,TAO,KAS,FET,VET,1000BONK,ARB,FIL,ATOM,TIA,,,,,,
29/12/2024,BTC,ETH,XRP,SOL,DOGE,ADA,TRX,AVAX,TON,LINK,SHIB,SUI,HBAR,DOT,XLM,HYPE,BCH,UNI,1000PEPE,LTC,NEAR,AAVE,APT,ICP,POL,CRO,ETC,VET,VIRTUAL,XMR,RENDER,OM,,,,,,
26/01/2025,BTC,ETH,XRP,SOL,DOGE,ADA,TRX,LINK,AVAX,XLM,HBAR,TON,SUI,SHIB,DOT,LTC,BCH,HYPE,UNI,1000PEPE,NEAR,TRUMP,AAVE,OM,APT,ONDO,ICP,XMR,ETC,MNT,POL,VET,CRO,,,,,,,
23/02/2025,BTC,ETH,XRP,SOL,DOGE,ADA,TRX,LINK,SUI,AVAX,XLM,LTC,TON,SHIB,HBAR,OM,HYPE,DOT,BCH,UNI,XMR,NEAR,1000PEPE,AAVE,TAO,APT,ONDO,ICP,TRUMP,ETC,MNT,VET,,,,,,,,
30/03/2025,BTC,ETH,XRP,SOL,DOGE,ADA,TRX,TON,LINK,XLM,AVAX,SUI,SHIB,HBAR,LTC,DOT,OM,BCH,HYPE,XMR,UNI,APT,NEAR,1000PEPE,CRO,MNT,ICP,ONDO,ETC,AAVE,,,,,,,,,
27/04/2025,BTC,ETH,XRP,SOL,DOGE,ADA,TRX,SUI,LINK,AVAX,XLM,TON,HBAR,SHIB,BCH,LTC,DOT,HYPE,XMR,1000PEPE,UNI,APT,TAO,NEAR,ONDO,TRUMP,ICP,AAVE,KAS,ETC,,,,,,,,
25/05/2025,BTC,ETH,XRP,SOL,DOGE,ADA,TRX,HYPE,SUI,LINK,AVAX,XLM,SHIB,BCH,HBAR,XMR,TON,LTC,DOT,1000PEPE,AAVE,UNI,TAO,NEAR,APT,ONDO,ICP,KAS,ETC,CRO,,,,,,,,,
29/06/2025,BTC,ETH,XRP,SOL,TRX,DOGE,ADA,HYPE,BCH,SUI,LINK,AVAX,XLM,TON,SHIB,LTC,HBAR,XMR,DOT,UNI,1000PEPE,AAVE,APT,TAO,NEAR,ICP,ETC,CRO,ONDO,KAS,,,,,,,,,
27/07/2025,BTC,ETH,XRP,SOL,DOGE,TRX,ADA,SUI,HYPE,XLM,LINK,HBAR,BCH,AVAX,LTC,TON,SHIB,UNI,DOT,XMR,1000PEPE,CRO,AAVE,ENA,TAO,NEAR,ETC,ONDO,APT,ICP,MNT,,,,,,,,
31/08/2025,BTC,ETH,XRP,SOL,TRX,DOGE,ADA,LINK,HYPE,SUI,XLM,BCH,AVAX,CRO,HBAR,LTC,TON,SHIB,UNI,DOT,XMR,AAVE,ENA,1000PEPE,MNT,ETC,TAO,NEAR,APT,POL,ONDO,,,,,,,,
28/09/2025,BTC,ETH,XRP,SOL,DOGE,TRX,ADA,HYPE,LINK,AVAX,XLM,SUI,BCH,HBAR,LTC,SHIB,TON,CRO,DOT,MNT,WLFI,XMR,UNI,AAVE,ENA,1000PEPE,NEAR,MYX,ASTER,TAO,APT,IP,,,,,,,,
26/10/2025,BTC,ETH,XRP,SOL,DOGE,TRX,ADA,HYPE,LINK,BCH,XLM,SUI,AVAX,HBAR,LTC,XMR,SHIB,MNT,TON,CRO,ZEC,DOT,UNI,TAO,WLFI,AAVE,ENA,1000PEPE,NEAR,APT
