bb_window,bb_std,atr_window,atr_multiplier,objective_value,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,avg_win,avg_loss,profit_factor,total_trades,winning_trades,losing_trades
124,2.5,9,1.5,1.0642079896860182,10.752271821978885,4.364349536088632,0.9481755402470297,4.6028919233157835,-0.4729836435420175,9.22727370317812,0.451287026996176,0.007043252742616424,-0.006718569172289136,1.0642079896860182,166,7907,7789
124,2.5,8,1.5,1.0642079896860182,10.752271821978885,4.364349536088632,0.9481755402470297,4.6028919233157835,-0.4729836435420175,9.22727370317812,0.451287026996176,0.007043252742616424,-0.006718569172289136,1.0642079896860182,166,7907,7789
125,2.5,8,1.5,1.0638826479167198,10.564595565302252,4.321608221710055,0.9482268762699306,4.557567740233328,-0.4729836435420166,9.136908391476233,0.451287026996176,0.007043252742616424,-0.006718898524003344,1.0638826479167198,168,7907,7791
125,2.5,9,1.5,1.0638826479167198,10.564595565302252,4.321608221710055,0.9482268762699306,4.557567740233328,-0.4729836435420166,9.136908391476233,0.451287026996176,0.007043252742616424,-0.006718898524003344,1.0638826479167198,168,7907,7791
123,2.5,8,1.5,1.063740932108213,10.481685718358026,4.3024744158771675,0.9482220588336828,4.537412282065268,-0.47298364354201805,9.096454971798517,0.45122995262827464,0.007043654187846758,-0.006718464412654094,1.063740932108213,168,7906,7792
123,2.5,9,1.5,1.063740932108213,10.481685718358026,4.3024744158771675,0.9482220588336828,4.537412282065268,-0.47298364354201805,9.096454971798517,0.45122995262827464,0.007043654187846758,-0.006718464412654094,1.063740932108213,168,7906,7792
124,2.5,10,1.5,1.0635789000901494,9.955376762620173,4.345200670361443,0.9799576264530551,4.434069956768279,-0.5725916733385735,7.5886550096444125,0.45145825009988017,0.007090912943645143,-0.0067688629300880505,1.0635789000901494,160,7910,7791
125,2.5,10,1.5,1.0632562486447452,9.780426409834448,4.3026119103325,0.9800072942928977,4.390387638325644,-0.5725916733385737,7.514276072590325,0.45145825009988017,0.007090912943645143,-0.00676917928985833,1.0632562486447452,162,7910,7793
128,2.5,10,1.5,1.0632231469914897,9.757566292418339,4.296916877505354,0.9799935924654037,4.3846377267584495,-0.5780107966714432,7.433973382936369,0.45140117573197874,0.007090730731541704,-0.0067709668644422,1.0632231469914897,158,7909,7790
126,2.5,10,1.5,1.0631982123713433,9.749393766018166,4.294984698028027,0.9800092050999002,4.382596281419831,-0.5738220152435356,7.484872632858455,0.45145825009988017,0.007090912943645143,-0.006767811900553461,1.0631982123713433,164,7910,7795
127,2.5,10,1.5,1.063145204787131,9.71600411378324,4.286687850152753,0.9799960388245297,4.374188956206887,-0.5780107966714428,7.416276434347339,0.45140117573197874,0.007090730731541704,-0.0067697252080642775,1.063145204787131,160,7909,7792
129,2.5,10,1.5,1.0631175916224327,9.700987246961638,4.283068317516504,0.9800124820186014,4.370422210025697,-0.583063761171032,7.3457974971971165,0.45140117573197874,0.007090730731541704,-0.006771639143700751,1.0631175916224327,158,7909,7790
123,2.5,10,1.5,1.0631156611316603,9.703138492709561,4.283546397827509,0.9800026315797989,4.370953974809517,-0.5754790281379507,7.443444831843083,0.45140117573197874,0.007091320262673093,-0.006768738838690868,1.0631156611316603,162,7909,7794
134,2.5,10,1.5,1.0629217945608,9.596486095513752,4.25775809257379,0.9801174828534532,4.344130338516172,-0.5802868935434458,7.337332860603398,0.45140117573197874,0.007090965792496325,-0.006771372569458942,1.0629217945608,160,7909,7792
128,2.5,8,1.5,1.0628865480121126,9.994220980863885,4.191384401092233,0.948750778144299,4.417792846810978,-0.4729836435420176,8.861584239371041,0.45122995262827464,0.007043064433012687,-0.006725028098426824,1.0628865480121126,166,7906,7790
128,2.5,9,1.5,1.0628865480121126,9.994220980863885,4.191384401092233,0.948750778144299,4.417792846810978,-0.4729836435420176,8.861584239371041,0.45122995262827464,0.007043064433012687,-0.006725028098426824,1.0628865480121126,166,7906,7790
126,2.5,8,1.5,1.0628615025915564,9.985868667824553,4.189490712797014,0.9487669040178721,4.415721812233551,-0.47298364354201633,8.857580531587347,0.451287026996176,0.007043252742616424,-0.006721902601354001,1.0628615025915564,172,7907,7795
126,2.5,9,1.5,1.0628615025915564,9.985868667824553,4.189490712797014,0.9487669040178721,4.415721812233551,-0.47298364354201633,8.857580531587347,0.451287026996176,0.007043252742616424,-0.006721902601354001,1.0628615025915564,172,7907,7795
127,2.5,8,1.5,1.0628080982664707,9.951744479772614,4.181359147507719,0.9487533003803662,4.407214336784246,-0.4729836435420184,8.840388467125207,0.45122995262827464,0.007043064433012687,-0.006723798233313279,1.0628080982664707,168,7906,7792
127,2.5,9,1.5,1.0628080982664707,9.951744479772614,4.181359147507719,0.9487533003803662,4.407214336784246,-0.4729836435420184,8.840388467125207,0.45122995262827464,0.007043064433012687,-0.006723798233313279,1.0628080982664707,168,7906,7792
129,2.5,8,1.5,1.062780305310194,9.936397258311242,4.177811720046742,0.9487702833852646,4.403396473527902,-0.47298364354202005,8.832888361129097,0.45122995262827464,0.007043064433012687,-0.006725700377685374,1.062780305310194,166,7906,7790
129,2.5,9,1.5,1.062780305310194,9.936397258311242,4.177811720046742,0.9487702833852646,4.403396473527902,-0.47298364354202005,8.832888361129097,0.45122995262827464,0.007043064433012687,-0.006725700377685374,1.062780305310194,166,7906,7790
122,2.5,9,1.5,1.062680884962847,9.879375518702165,4.162121597049294,0.9483390568322262,4.388853930525851,-0.4729836435420192,8.799715706616263,0.4511158038924719,0.0070423380417694486,-0.0067222086275330615,1.062680884962847,166,7904,7792
